GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
database,pe.edu.vallegrande.database.service,PersonService,64,247,1,3,11,59,8,24,7,23
database,pe.edu.vallegrande.database,DatabaseApplication,5,3,0,0,2,1,1,1,1,1
database,pe.edu.vallegrande.database.config,SecurityConfig,21,114,0,0,6,18,1,6,1,6
database,pe.edu.vallegrande.database.config,JwtConverterConfig,0,34,0,4,0,9,0,5,0,3
database,pe.edu.vallegrande.database.config,AuthContextWebFilter,0,37,0,4,0,7,0,6,0,4
database,pe.edu.vallegrande.database.webclient,FamilyServiceClient,32,0,2,0,8,0,4,0,3,0
database,pe.edu.vallegrande.database.webclient,WebClientConfig,31,14,2,0,7,6,4,3,3,3
database,pe.edu.vallegrande.database.controller,PersonController,25,66,0,0,4,19,2,9,2,9
database,pe.edu.vallegrande.database.kafka.producer,KafkaProducerService,22,4,2,0,7,1,3,1,2,1
database,pe.edu.vallegrande.database.kafka,KafkaConsumerConfig,0,5,0,0,0,2,0,2,0,2
database,pe.edu.vallegrande.database.kafka.consumer,FamilyEventConsumer,34,6,5,0,8,3,4,1,1,1
